,ind,company,pct,Mean Return,Ret_bracket,Variance,Vol_bracket,Volatility,portfolio,key,is_optimal
13522,4507,AMD,0.02,0.0269782456244,0.027,0.0137555696037,0.117,0.117284140461,AAPL_AMD_BAC,"AAPL, AMD, BAC 4507",1.0
13523,4507,BAC,0.01,0.0269782456244,0.027,0.0137555696037,0.117,0.117284140461,AAPL_AMD_BAC,"AAPL, AMD, BAC 4507",1.0
26811,8937,AAPL,0.86,0.0252261996395,0.025,0.0130941949284,0.114,0.11442986904,AAPL_AMD_CLDX,"AAPL, AMD, CLDX 8937",1.0
26812,8937,AMD,0.05,0.0252261996395,0.025,0.0130941949284,0.114,0.11442986904,AAPL_AMD_CLDX,"AAPL, AMD, CLDX 8937",1.0
26813,8937,CLDX,0.09,0.0252261996395,0.025,0.0130941949284,0.114,0.11442986904,AAPL_AMD_CLDX,"AAPL, AMD, CLDX 8937",1.0
26958,8986,AAPL,0.91,0.0259828765454,0.026,0.0133348965717,0.115,0.11547682266,AAPL_AMD_CLDX,"AAPL, AMD, CLDX 8986",1.0
26959,8986,AMD,0.03,0.0259828765454,0.026,0.0133348965717,0.115,0.11547682266,AAPL_AMD_CLDX,"AAPL, AMD, CLDX 8986",1.0
26960,8986,CLDX,0.06,0.0259828765454,0.026,0.0133348965717,0.115,0.11547682266,AAPL_AMD_CLDX,"AAPL, AMD, CLDX 8986",1.0
27015,9005,AAPL,0.94,0.0264478160609,0.026,0.0135474451474,0.116,0.116393492719,AAPL_AMD_CLDX,"AAPL, AMD, CLDX 9005",1.0
27016,9005,AMD,0.02,0.0264478160609,0.026,0.0135474451474,0.116,0.116393492719,AAPL_AMD_CLDX,"AAPL, AMD, CLDX 9005",1.0
27017,9005,CLDX,0.04,0.0264478160609,0.026,0.0135474451474,0.116,0.116393492719,AAPL_AMD_CLDX,"AAPL, AMD, CLDX 9005",1.0
27039,9013,AAPL,0.96,0.0268488871719,0.027,0.0137931744603,0.117,0.117444346225,AAPL_AMD_CLDX,"AAPL, AMD, CLDX 9013",1.0
